id,address,city,end_date,name,prize_money,start_date,state,url,zip,map_link,organizer,inserted_at,updated_at
302f3336-17cf-4369-a813-69c27dc0313d,One Duke Drive,Rancho Mirage,2022-03-20,Coachella Valley Grand Prix Pickleball at The Springs Country Club,0,2022-03-17,CA,https://usapickleball.org/event/coachella-valley-grand-prix-pickleball-at-the-springs-country-club/,92270,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=One+Duke+Drive+Rancho+Mirage+CA+92270+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
af830cc2-4523-4273-9aeb-0e0a8ac66a48,One Legacy Drive,Mesa,2022-03-20,Legacy Spring Fling,0,2022-03-18,AZ,https://usapickleball.org/event/legacy-spring-fling/,85212,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=One+Legacy+Drive+Mesa+AZ+85212+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
808d41d7-4ad2-4a7e-97fb-44cf9a1b3113,2612 S. Camino de la Canoa,Green Valley,2022-03-20,Southern Arizona Senior Games,0,2022-03-18,AZ,https://usapickleball.org/event/southern-arizona-senior-games-2/,85614,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=2612+S.+Camino+de+la+Canoa+Green+Valley+AZ+85614+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
05fe7c62-140f-4c4d-a129-0047ef2b6eac,5850 S Pine Island Rd,Davie,2022-03-20,Maccabi USA Inaugural Pickleball Tournament,0,2022-03-18,FL,https://usapickleball.org/event/inaugural-maccabi-pickleball-tournament/,33328,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=5850+S+Pine+Island+Rd+Davie+FL+33328+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
5b2e20a1-2a47-47f8-8c3d-48c6212a4675,15434 W Tierra Buena Ln,Surprise,2022-03-20,MS Charity,0,2022-03-18,,https://usapickleball.org/event/ms-charity-2/,85374,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=15434+W+Tierra+Buena+Ln+Surprise+85374+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
0e9e050f-520b-4194-93c9-2d2879de85cc,5025 David Edwards Dr,San Antonio,2022-03-20,2022 Texas Senior Games,0,2022-03-18,TX,https://usapickleball.org/event/2022-texas-senior-games/,78233,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=5025+David+Edwards+Dr+San+Antonio+TX+78233+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
58c3b414-00a1-40a5-9a82-e8a0bcfed656,1628 Avalon Ave,Lake Havasu,2022-03-20,8th Annual LHCPBA Picklefest,0,2022-03-18,AZ,https://usapickleball.org/event/8th-annual-lhcpba-picklefest/,86404,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1628+Avalon+Ave+Lake+Havasu+AZ+86404+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
8d76a4bb-91be-4397-a8ef-ff37cff5a2ab,1 Legacy Drive,Mesa,2022-03-27,USA Pickleball Southwest Regional Championships,0,2022-03-22,AZ,https://usapickleball.org/event/usa-pickleball-southwest-regional-championships/,85212,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1+Legacy+Drive+Mesa+AZ+85212+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
eaa212c0-1c39-4e27-b81c-198fc87aa915,2140 E Clubhouse Dr.,Fresno,2022-03-27,Fresno Classic,0,2022-03-25,CA,https://usapickleball.org/event/fresno-classic/,93730,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=2140+E+Clubhouse+Dr.+Fresno+CA+93730+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
29bba0fd-cea1-4dd8-a859-ca4df242f806,16400 Brookhurst St,Fountain Valley,2022-03-27,Agape Heart Tournament,0,2022-03-25,CA,https://usapickleball.org/event/agape-heart-tournament/,92708,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=16400+Brookhurst+St+Fountain+Valley+CA+92708+United+States,usa_pickleball,2022-02-07 03:22:20,2022-02-07 03:22:20
